Country Name,Country Code,Year,Life expectancy,PIB per capita,Population,Region Name
St. Vincent and the Grenadines,VCT,2015,73.0523658536585,6739.174832869449,109462.0,Americas
Virgin Islands (U.S.),VIR,2015,79.87317073170729,36350.8216347732,103574.0,Americas
South Africa,ZAF,2015,57.4409024390244,5718.244731972371,55011976.6820294,Africa
Zambia,ZMB,2015,60.7856829268293,1304.87901447726,16211767.0,Africa
Zimbabwe,ZWE,2015,59.161073170731704,924.1438192534121,15602751.0,Africa
Israel,ISR,2015,82.05121951219509,35729.3725285817,8380100.0,Asia
Argentina,ARG,2015,76.33421951219509,13467.4156409228,43416755.0,Americas
Equatorial Guinea,GNQ,2015,57.9634146341463,14439.5944478516,845060.0,Africa
Brunei Darussalam,BRN,2015,79.0408292682927,30554.7296658073,423188.0,Asia
"Egypt, Arab Rep.",EGY,2015,71.3169512195122,3614.74676616271,91508084.0,Africa
Jordan,JOR,2015,74.20334146341459,4940.04583574111,7594547.0,Asia
Kuwait,KWT,2015,74.6979024390244,29300.5755750333,3892115.0,Asia
Oman,OMN,2015,77.32419512195119,15550.6762514328,4490541.0,Asia
Paraguay,PRY,2015,73.02563414634149,4080.95144785437,6639123.0,Americas
El Salvador,SLV,2015,73.0010975609756,4219.35032953932,6126583.0,Americas
Tunisia,TUN,2015,74.97597560975609,3822.35600617151,11253554.0,Africa
"Gambia, The",GMB,2015,60.4676829268293,471.53719547234704,1990924.0,Africa
Indonesia,IDN,2015,69.0716829268293,3346.48703949478,257563815.0,Asia
Mali,MLI,2015,58.4572195121951,724.256283193304,17599694.0,Africa
Solomon Islands,SLB,2015,68.146243902439,1934.85629287353,583591.0,Oceania
Saudi Arabia,SAU,2015,74.4933414634146,20481.745322048402,31540372.0,Asia
Cuba,CUB,2015,79.5464146341464,7650.2327306353,11389562.0,Americas
Germany,DEU,2015,81.090243902439,41178.4565975975,81679769.0,Europe
Guinea-Bissau,GNB,2015,55.4673170731707,572.988428543071,1844325.0,Africa
Kiribati,KIR,2015,66.1478536585366,1424.28087874779,112423.0,Oceania
Malta,MLT,2015,81.9463414634146,22567.8759852166,431874.0,Europe
Qatar,QAT,2015,78.7625853658537,73653.3944346574,2235355.0,Asia
United Arab Emirates,ARE,2015,77.541243902439,40438.7629344394,9156963.0,Asia
Cyprus,CYP,2015,80.30709756097559,23075.1126993152,1165300.0,Asia
Tonga,TON,2015,72.94404878048779,4098.5439292582505,106170.0,Oceania
Mauritius,MUS,2015,74.3531707317073,9252.11072429051,1262605.0,Africa
Antigua and Barbuda,ATG,2015,76.1002195121951,13714.731961698799,91818.0,Americas
Grenada,GRD,2015,73.523,9212.02035173484,106825.0,Americas
St. Lucia,LCA,2015,75.184512195122,7735.910484401021,184999.0,Americas
Vanuatu,VUT,2015,72.1573658536585,2805.3146435356707,264652.0,Oceania
Bulgaria,BGR,2015,74.4658536585366,6993.47735975728,7177991.0,Europe
Bahrain,BHR,2015,76.81909756097559,22600.2140981035,1377237.0,Asia
Barbados,BRB,2015,75.65843902439029,15429.3404640853,284215.0,Americas
Bhutan,BTN,2015,69.8328536585366,2655.99889161858,774830.0,Asia
Comoros,COM,2015,63.5540243902439,717.4488499609123,788474.0,Africa
Cabo Verde,CPV,2015,73.3556341463415,3080.17881445563,520502.0,Africa
Maldives,MDV,2015,76.979,8395.78519750383,409163.0,Asia
Mozambique,MOZ,2015,55.37124390243901,529.242556068943,27977863.0,Africa
Namibia,NAM,2015,64.9154390243903,4673.56724769495,2458830.0,Africa
Ethiopia,ETH,2015,64.57804878048779,619.169406475891,99390750.0,Africa
Mongolia,MNG,2015,69.8212682926829,3967.82938559498,2959134.0,Asia
"Macao SAR, China",MAC,2015,80.7660731707317,78585.8770573122,587606.0,Asia
Seychelles,SYC,2015,73.2292682926829,15390.040638280701,93419.0,Africa
Samoa,WSM,2015,73.7648780487805,3938.548845703161,193228.0,Oceania
"Micronesia, Fed. Sts.",FSM,2015,69.234243902439,3015.2316676239698,104460.0,Oceania
Albania,ALB,2015,78.01446341463419,3945.21758150914,2889167.0,Europe
Lao PDR,LAO,2015,66.5398780487805,1818.4413729323605,6802023.0,Asia
Angola,AGO,2015,52.6660975609756,4101.47215182964,25021974.0,Africa
Djibouti,DJI,2015,62.285658536585395,1945.1242931044396,887861.0,Africa
Vietnam,VNM,2015,75.77773170731709,2110.91934424843,91713300.0,Asia
Guinea,GIN,2015,59.19343902439029,531.320595188714,12608590.0,Africa
Romania,ROU,2015,74.9609756097561,8980.65727022567,19815308.0,Europe
Turkmenistan,TKM,2015,65.7364390243903,6672.477544173511,5373502.0,Asia
Ukraine,UKR,2015,71.189512195122,2114.9547162844397,45154029.0,Europe
Lebanon,LBN,2015,79.62860975609759,8047.64508557496,5850743.0,Asia
Tanzania,TZA,2015,65.4874878048781,878.97510552608,53470420.0,Africa
Russian Federation,RUS,2015,70.90853658536591,9329.29835135239,144096870.0,Europe
Armenia,ARM,2015,74.7971219512195,3489.12768956995,3017712.0,Asia
Azerbaijan,AZE,2015,70.8487804878049,5497.48841371164,9649341.0,Asia
Belarus,BLR,2015,73.6243902439025,5754.601939108051,9489616.0,Europe
Czech Republic,CZE,2015,79.4731707317073,17556.9243042464,10546059.0,Europe
Georgia,GEO,2015,74.8174146341463,3757.06486287404,3717100.0,Asia
Kazakhstan,KAZ,2015,72.0,10509.9810699442,17544126.0,Asia
Kyrgyz Republic,KGZ,2015,70.6512195121951,1103.23387147776,5956900.0,Asia
"Macedonia, FYR",MKD,2015,75.49534146341459,4852.6578476699,2078453.0,Europe
Poland,POL,2015,78.2048780487805,12558.8711678515,37986412.0,Europe
Slovak Republic,SVK,2015,77.2121951219512,16089.016180210901,5423801.0,Europe
Tajikistan,TJK,2015,69.7684390243903,925.91188767081,8481855.0,Asia
Uzbekistan,UZB,2015,68.45307317073171,2132.11124027346,31298900.0,Asia
"Yemen, Rep.",YEM,2015,64.0313902439024,1406.2916511457001,26832215.0,Asia
Haiti,HTI,2015,63.073756097560995,818.343297634549,10711067.0,Americas
Hungary,HUN,2015,75.9609756097561,12365.6260256139,9843028.0,Europe
Bosnia and Herzegovina,BIH,2015,76.5885853658537,4249.3303131949,3810416.0,Europe
West Bank and Gaza,PSE,2015,73.07419512195119,2866.800100054289,4422143.0,Asia
Estonia,EST,2015,77.13170731707321,17084.5174179802,1314608.0,Europe
Croatia,HRV,2015,77.2756097560976,11592.9101966741,4203604.0,Europe
Lithuania,LTU,2015,75.119512195122,14251.779866063502,2904910.0,Europe
Latvia,LVA,2015,74.12439024390241,13654.8489237501,1977527.0,Europe
Moldova,MDA,2015,71.6264390243903,1848.0836434256,3554108.0,Europe
Slovenia,SVN,2015,81.07804878048779,20728.9203642764,2063531.0,Europe
Serbia,SRB,2015,75.4878048780488,5237.2553342313595,7095383.0,Europe
Myanmar,MMR,2015,66.04207317073171,1161.4881579108699,53897154.0,Asia
Montenegro,MNE,2015,76.3377073170732,6408.42875777906,622159.0,Europe
Timor-Leste,TLS,2015,68.5264146341463,1216.8814912661999,1184765.0,Asia
Sao Tome and Principe,STP,2015,66.5137073170732,1669.0632680132599,190344.0,Africa
Guam,GUM,2015,79.37899999999998,33752.2441651706,169885.0,Oceania
South Sudan,SSD,2015,56.111512195122,730.580100916022,12339812.0,Africa
Somalia,SOM,2015,55.6855853658537,549.266976567576,10787104.0,Africa
